Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"Monday, September 23, 2019",,,,,,,,,,,,,Page 7 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AVS,2110,1,Meat Processing Techniques,79%,21%,0%,0%,0%,0%,0%,0%,"Bolt, Brian G",
AVS,2120,1,Small Ruminant Techniques,90%,5%,0%,0%,0%,0%,0%,5%,"Dunn, Heather Walker",
AVS,3010,1,Anat & Phys Dom Ani,40%,29%,22%,4%,4%,0%,0%,2%,"Wilmoth, Tiffany A",
AVS,3100,1,Animal Health,71%,16%,6%,2%,3%,0%,0%,2%,"Scott, Thomas R",
AVS,3150,1,Animal Welfare,27%,36%,27%,5%,5%,0%,0%,0%,"Skewes, Peter A",
AVS,3700,1,Prin Animal Nutr,10%,18%,40%,11%,18%,0%,0%,3%,"Long, Nathan M",
AVS,3750,1,Appl Animal Nutr,40%,34%,18%,6%,0%,0%,0%,2%,"Lascano, Gustavo Jos",
AVS,4000,1,AVS Professional Development,62%,24%,0%,12%,0%,0%,0%,3%,"Lascano, Johanna Joh",
AVS,4060,1,Seminars & Relat Top,70%,30%,0%,0%,0%,0%,0%,0%,"Jones, Jeryl C",
AVS,4090,2,Selected Topics/CAFLS Plus,94%,3%,0%,0%,3%,0%,0%,0%,"Scott, Thomas R",
AVS,4090,7,Sel Topics- Scientific Writing,69%,31%,0%,0%,0%,0%,0%,0%,"Jones, Jeryl C",
AVS,4100,1,Domestic Ani Behav,37%,39%,18%,3%,2%,0%,0%,1%,"Skewes, Peter A",
AVS,4110,400,Ani Growth & Develop,62%,15%,15%,0%,8%,0%,0%,0%,"Duckett, Susan Kay",
AVS,4120,1,Adv Equine Mgmt,64%,29%,7%,0%,0%,0%,0%,0%,"Vernon, Kristine Lan",
AVS,4130,1,Animal Products,78%,21%,1%,0%,0%,0%,0%,0%,"Bolt, Brian G",
AVS,4170,1,Animal Agribusiness Develpmnt,23%,68%,9%,0%,0%,0%,0%,0%,"Vernon, Kristine Lan",
AVS,4220,2,Special Problems/CAFLS Plus,94%,3%,0%,0%,3%,0%,0%,0%,"Scott, Thomas R",
AVS,4530,1,Animal Reproduction,50%,31%,17%,0%,0%,0%,0%,2%,"Birrenkott, Glenn P",
AVS,4530,400,Animal Reproduction,50%,30%,10%,10%,0%,0%,0%,0%,"Birrenkott, Glenn P",
AVS,6110,1,Ani Growth & Develop,60%,40%,0%,0%,0%,0%,0%,0%,"Duckett, Susan Kay",
BCHM,3010,1,Molecular Biochem,25%,21%,25%,13%,6%,0%,0%,10%,"Morris, Meredith Tei",
BCHM,3010,2,Molecular Biochem(HON),68%,15%,15%,0%,0%,0%,0%,3%,"Morris, Meredith Tei",H
BCHM,3020,1,Molecular Biochemistry Lab,77%,8%,8%,0%,0%,0%,0%,8%,"Morris, Meredith Tei",
BCHM,3020,2,Molecular Biochemistry Lab,56%,25%,6%,13%,0%,0%,0%,0%,"Morris, Meredith Tei",
BCHM,3020,3,Molecular Biochemistry Lab,36%,55%,9%,0%,0%,0%,0%,0%,"Morris, Meredith Tei",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 8 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
BCHM,3050,1,Essen Elements Bioch,32%,36%,18%,5%,5%,0%,0%,4%,"Chandrasekaran, Srik",
BCHM,3050,2,Essen Elements Bioch,40%,37%,13%,7%,1%,0%,0%,3%,"Wang, Liangjiang",
BCHM,4060,1,Physiological Chem,41%,25%,25%,2%,4%,0%,0%,2%,"Bodine, Ashby Burges",
BCHM,4320,1,Bioch of Metabolism,61%,35%,0%,3%,0%,0%,0%,0%,"Paul, Kimberly S",
BCHM,4340,1,General Biochemistry Lab II,75%,20%,0%,0%,0%,0%,0%,5%,"Paul, Kimberly S",
BCHM,4340,2,General Biochemistry Lab II,84%,11%,0%,0%,0%,0%,0%,5%,"Paul, Kimberly S",
BCHM,4360,1,Genes to Proteins,23%,41%,27%,0%,5%,0%,0%,5%,"Sehorn, Michael Glen",
BCHM,4360,2,Genes to Proteins(HON),85%,15%,0%,0%,0%,0%,0%,0%,"Sehorn, Michael Glen",H
BCHM,4900,1,Strategic Markting Relay 4 Lif,98%,1%,0%,0%,0%,0%,0%,1%,"Sehorn, Michael Glen",
BE,2100,1,Intro to Biosystems Engr,75%,22%,0%,0%,0%,0%,0%,3%,"Zheng, Yi",
